,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma_2,mkt_cap_ma_2,volatility,liquidity_ratio
count,992.0,992.0,992.0,992.0,992.0,992.0,992,991.0,991.0,992.0,992.0
mean,620.0521274817123,0.009682459677419349,0.024018145161290316,0.023558467741935485,288463845.5999496,3783950795.768145,2022-03-16 11:58:32.903225856,600.0620391204427,3398738445.2300706,0.02859979838709677,0.10241504074238668
min,1.484e-09,-0.7040000000000001,-0.6459999999999999,-0.5579999999999999,0.0,65770433.0,2022-03-16 00:00:00,0.0003076943625,66055442.0,0.0,0.0
25%,0.19405475,0.001,0.001,-0.0409999999999999,1764198.25,115850067.25,2022-03-16 00:00:00,0.67677857831975,117201450.5,0.006,0.008758737638449778
50%,1.0950000000000002,0.006,0.016,-0.0005,8328741.0,213195271.0,2022-03-16 00:00:00,2.383175,214307314.0,0.015000000000000051,0.0337380729138021
75%,6.955,0.019,0.035,0.037,39472221.0,597249311.25,2022-03-17 00:00:00,19.45008425,609882897.25,0.033,0.08705295795341152
max,41217.27,0.095,0.5770000000000001,4.6080000000000005,57934969077.0,776077432316.0,2022-03-17 00:00:00,21837.899999999998,557577323312.0,0.53,5.9485448576620605
std,4421.997963456704,0.026917465038807462,0.05866783537471867,0.229781264410609,2771176333.73451,38189701988.870575,,3044.1173635500827,27444329705.373863,0.046191460019884535,0.36472187052352306
